role,stat,tier,bin_lo,bin_hi,count,density,scale,note
P,k_pct,marcel,0.4,0.5,138,0.10454545454545454,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.5,0.6,117,0.08863636363636364,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.6,0.7,117,0.08863636363636364,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.7,0.8,126,0.09545454545454546,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.8,0.9,111,0.08409090909090909,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.9,1.0,148,0.11212121212121212,0.04008783877309456,normal approx from pooled residuals
P,bb_pct,marcel,0.0,0.1,149,0.11287878787878788,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.1,0.2,158,0.11969696969696969,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.2,0.3,156,0.11818181818181818,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.3,0.4,144,0.10909090909090909,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.4,0.5,123,0.09318181818181819,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.5,0.6,128,0.09696969696969697,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.6,0.7,116,0.08787878787878788,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.7,0.8,102,0.07727272727272727,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.8,0.9,98,0.07424242424242425,0.020621341987337585,normal approx from pooled residuals
P,bb_pct,marcel,0.9,1.0,146,0.11060606060606061,0.020621341987337585,normal approx from pooled residuals
P,hr_pct,marcel,0.0,0.1,189,0.1431818181818182,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.1,0.2,165,0.125,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.2,0.3,156,0.11818181818181818,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.3,0.4,132,0.1,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.4,0.5,118,0.0893939393939394,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.5,0.6,134,0.10151515151515152,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.6,0.7,125,0.0946969696969697,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.7,0.8,112,0.08484848484848485,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.8,0.9,84,0.06363636363636363,0.010895720489916279,normal approx from pooled residuals
P,hr_pct,marcel,0.9,1.0,105,0.07954545454545454,0.010895720489916279,normal approx from pooled residuals
P,babip,marcel,0.0,0.1,172,0.1303030303030303,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.1,0.2,132,0.1,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.2,0.3,132,0.1,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.3,0.4,127,0.09621212121212121,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.4,0.5,129,0.09772727272727273,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.5,0.6,133,0.10075757575757575,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.6,0.7,119,0.09015151515151515,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.7,0.8,116,0.08787878787878788,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.8,0.9,118,0.0893939393939394,0.033433481508585494,normal approx from pooled residuals
P,babip,marcel,0.9,1.0,142,0.10757575757575757,0.033433481508585494,normal approx from pooled residuals
P,fip,marcel,0.0,0.1,171,0.12954545454545455,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.1,0.2,146,0.11060606060606061,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.2,0.3,155,0.11742424242424243,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.3,0.4,151,0.1143939393939394,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.4,0.5,128,0.09696969696969697,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.5,0.6,134,0.10151515151515152,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.6,0.7,121,0.09166666666666666,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.7,0.8,107,0.08106060606060606,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.8,0.9,103,0.07803030303030303,0.7957481318666988,normal approx from pooled residuals
P,fip,marcel,0.9,1.0,104,0.07878787878787878,0.7957481318666988,normal approx from pooled residuals
