target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,H,tier2,woba,656775,Cedric Mullins,26.0,149.0,670.0,0.29163854511562226,0.37174477611940304,0.26624696662673947,0.3185440871177992
2021,H,tier2,woba,665489,Vladimir Guerrero Jr.,22.0,242.0,691.0,0.33915260759237537,0.41912011577424013,0.31266458341351655,0.3647067758280581
2021,H,tier2,woba,518735,Yasmani Grandal,32.0,194.0,374.0,0.3223716369518453,0.40233689839572195,0.3003336431721923,0.3448441933431214
2021,H,tier2,woba,572287,Mike Zunino,30.0,84.0,375.0,0.28019222756084894,0.35857333333333336,0.25056121410822285,0.3075608197580836
2021,H,tier2,woba,621311,David Dahl,27.0,99.0,219.0,0.3240125357859995,0.2463196347031963,0.29947260826547106,0.34966721647722554
2021,H,tier2,woba,656582,Connor Joe,28.0,0.0,211.0,0.2889410566894501,0.3662464454976303,0.2408160987360812,0.34209200517409016
2021,H,tier2,woba,573131,Darin Ruf,34.0,100.0,310.0,0.30722067149514315,0.38441290322580646,0.2719051249524194,0.34570930738695993
2021,H,tier2,woba,663898,Brendan Rodgers,24.0,21.0,415.0,0.26745444380958533,0.34096867469879516,0.23414674958018497,0.30090677683957856
2021,H,tier2,woba,542364,Rafael Ortega,30.0,0.0,327.0,0.2820493959396039,0.35466055045871553,0.254514213293782,0.3110316083484638
2021,H,tier2,woba,641933,Tyler O'Neill,26.0,157.0,537.0,0.31154047866997664,0.3838957169459963,0.28084936909822017,0.3446394320273385
2021,H,tier2,woba,621550,Patrick Wisdom,29.0,2.0,373.0,0.27424059051346533,0.34639410187667563,0.23016205225589836,0.31906636521374493
2021,H,tier2,woba,457763,Buster Posey,34.0,0.0,449.0,0.3081243810786609,0.37894654788418713,0.28658215422882094,0.328789841526811
2021,H,tier2,woba,444876,Alcides Escobar,34.0,0.0,347.0,0.2554450493916349,0.32461959654178685,0.23479574445159435,0.27615439165521355
2021,H,tier2,woba,474832,Brandon Belt,33.0,178.0,378.0,0.3378455997572405,0.40634126984126984,0.31567939593937655,0.3606401307770723
2021,H,tier2,woba,641584,Jake Fraley,26.0,29.0,263.0,0.2545207339757064,0.32255513307984796,0.22282949765188678,0.2884243372874243
2021,H,tier2,woba,660821,Jesús Sánchez,23.0,29.0,248.0,0.27398501019741783,0.3391411290322581,0.2342513553161633,0.31582399785786563
2021,H,tier2,woba,641343,Jake Bauers,25.0,0.0,313.0,0.3210387851619786,0.2569520766773163,0.29063216375582923,0.3513300570907603
2021,H,tier2,woba,642162,Pat Valaika,28.0,149.0,280.0,0.30213556746759157,0.2384571428571429,0.27334250005868344,0.3344803421010299
2021,H,tier2,woba,543068,C.J. Cron,31.0,52.0,544.0,0.320380213868841,0.38305882352941173,0.29353247312060937,0.3513929307240405
2021,H,tier2,woba,592885,Christian Yelich,29.0,245.0,470.0,0.3866516370109908,0.324668085106383,0.3607302153982863,0.4139552337550476
2021,H,tier2,woba,446334,Evan Longoria,35.0,209.0,287.0,0.2900720151754064,0.3519965156794425,0.26983907473467045,0.31181591652795887
2021,H,tier2,woba,666969,Adolis García,28.0,7.0,622.0,0.25350666163973096,0.3142717041800643,0.2047185582970512,0.30367842084807095
2021,H,tier2,woba,606992,Eric Haase,28.0,19.0,381.0,0.2566064694796704,0.31626246719160106,0.2174657966990214,0.298602301664921
2021,H,tier2,woba,621028,Kevin Newman,27.0,171.0,545.0,0.3086097240780827,0.2492954128440367,0.2873140213158865,0.3297774905192425
2021,H,tier2,woba,621493,Taylor Ward,27.0,102.0,235.0,0.27449985356217793,0.3333999999999999,0.24638224392130342,0.3043191562911314
2021,H,tier2,woba,621453,Steven Duggar,27.0,36.0,294.0,0.2693568553263023,0.3273945578231293,0.24412628565655287,0.29424429514496964
