tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2022,babip,31-33,>400,3+,38,0.009346536303801544,0.03041202894696728,
marcel,H,2022,babip,<=24,150-400,1,2,0.007606235143749182,0.018639103920416882,
marcel,H,2022,babip,<=24,150-400,2,7,-0.023282723976505923,0.04219494531745773,
marcel,H,2022,babip,<=24,150-400,3+,2,-0.023100509491067754,0.028761890061172534,
marcel,H,2022,babip,<=24,<150,1,6,0.0062607766594621715,0.043382642989694624,
marcel,H,2022,babip,<=24,<150,2,4,0.034836557451216194,0.05807342932507849,
marcel,H,2022,babip,<=24,>400,1,2,0.0007965794673317622,0.02509986229564797,
marcel,H,2022,babip,<=24,>400,2,2,0.03390942432146467,0.035989349709761254,
marcel,H,2022,babip,<=24,>400,3+,3,0.03483700300452215,0.05121540557945446,
marcel,H,2022,babip,>=34,150-400,2,2,0.019989571543822967,0.04444071807683055,
marcel,H,2022,babip,>=34,150-400,3+,6,0.0017510231510935545,0.016507989529101326,
marcel,H,2022,babip,>=34,<150,3+,1,0.03691647007164378,0.03691647007164378,
marcel,H,2022,babip,>=34,>400,3+,20,-0.0022845974641531614,0.02673095224793601,
marcel,H,2023,babip,25-27,150-400,1,5,0.046467361448964246,0.04700871864559673,
marcel,H,2023,babip,25-27,150-400,2,16,-0.003836193682645694,0.034290306228270354,
marcel,H,2023,babip,25-27,150-400,3+,12,-0.00048759913205578386,0.03522887123676502,
marcel,H,2023,babip,25-27,<150,1,10,-0.035846920027021764,0.04925886499903722,
marcel,H,2023,babip,25-27,<150,2,5,0.017634055001925133,0.0579931553492175,
marcel,H,2023,babip,25-27,<150,3+,1,-0.11783616923745643,0.11783616923745643,
marcel,H,2023,babip,25-27,>400,1,5,-0.0032191964423728225,0.02167240572753276,
marcel,H,2023,babip,25-27,>400,2,8,-0.0034666732602169235,0.02909211470015495,
marcel,H,2023,babip,25-27,>400,3+,24,-0.0023223767520591776,0.028681064805854153,
marcel,H,2023,babip,28-30,150-400,3+,28,-0.0027927374628987723,0.02620758552004359,
marcel,H,2023,babip,28-30,<150,1,3,0.029273139503612357,0.047569707295649105,
marcel,H,2023,babip,28-30,<150,2,4,-0.010012215640734921,0.025659932072969748,
marcel,H,2023,babip,28-30,<150,3+,4,-0.026940270121396964,0.03570958574915685,
marcel,H,2023,babip,28-30,>400,1,1,-0.026707412882227832,0.026707412882227832,
marcel,H,2023,babip,28-30,>400,2,2,-0.014583558797567404,0.014863429641361182,
marcel,H,2023,babip,28-30,>400,3+,60,0.0035210101568344497,0.02915288089773813,
marcel,H,2023,babip,31-33,150-400,1,2,0.006591174596854645,0.011137765420729556,
marcel,H,2023,babip,31-33,150-400,2,2,0.01478903400106946,0.014789997030939028,
marcel,H,2023,babip,31-33,150-400,3+,16,-0.0018781127214315936,0.0329031144462932,
marcel,H,2023,babip,31-33,<150,2,1,-0.029665578194494502,0.029665578194494502,
marcel,H,2023,babip,31-33,<150,3+,2,-0.014155539619783539,0.02433182247195638,
marcel,H,2023,babip,31-33,>400,2,1,-0.03331781779334714,0.03331781779334714,
marcel,H,2023,babip,31-33,>400,3+,40,-0.006418308046549891,0.03240069962654572,
marcel,H,2023,babip,<=24,150-400,1,8,-0.014375185220299421,0.04629534574278636,
marcel,H,2023,babip,<=24,150-400,2,5,-0.01245126399973754,0.06366425814129102,
marcel,H,2023,babip,<=24,150-400,3+,3,0.0032586199171019212,0.021010771151484763,
marcel,H,2023,babip,<=24,<150,1,20,-0.0008555352221899816,0.031432125845327126,
marcel,H,2023,babip,<=24,<150,2,1,0.01992664525721699,0.01992664525721699,
marcel,H,2023,babip,<=24,>400,1,8,-0.0015862545769044123,0.020371736762106765,
marcel,H,2023,babip,<=24,>400,2,1,-0.025503589530129933,0.025503589530129933,
marcel,H,2023,babip,<=24,>400,3+,6,0.027698869831896823,0.03116708623975928,
marcel,H,2023,babip,>=34,150-400,3+,10,-0.021484280039175303,0.03982353050314196,
marcel,H,2023,babip,>=34,<150,3+,1,0.02687275659991467,0.02687275659991467,
marcel,H,2023,babip,>=34,>400,3+,20,-0.0002687462048664086,0.02482113510298021,
marcel,H,2024,babip,25-27,150-400,1,6,0.021750700372813868,0.03916460310767057,
marcel,H,2024,babip,25-27,150-400,2,15,0.004319368856200383,0.04248581006517864,
marcel,H,2024,babip,25-27,150-400,3+,13,0.012470644704871425,0.032881998199947464,
marcel,H,2024,babip,25-27,<150,1,12,0.002748437925451763,0.04215829860476673,
marcel,H,2024,babip,25-27,<150,2,8,-0.01712362815926509,0.02816487608337634,
marcel,H,2024,babip,25-27,<150,3+,8,-0.010533412371239066,0.04447670416173404,
marcel,H,2024,babip,25-27,>400,1,2,0.007688407088397853,0.03519775544118217,
marcel,H,2024,babip,25-27,>400,2,15,0.029314655536803857,0.037584186435034576,
marcel,H,2024,babip,25-27,>400,3+,37,0.011187165626508875,0.02591071202141759,
marcel,H,2024,babip,28-30,150-400,2,3,0.00801811157365218,0.02117097890608964,
marcel,H,2024,babip,28-30,150-400,3+,32,0.000972863990065988,0.030152923076064077,
marcel,H,2024,babip,28-30,<150,1,1,-0.008453446153654065,0.008453446153654065,
marcel,H,2024,babip,28-30,<150,2,1,-0.04183924740641737,0.04183924740641737,
marcel,H,2024,babip,28-30,<150,3+,4,2.5636567839151456e-05,0.024836505805031984,
marcel,H,2024,babip,28-30,>400,1,1,0.008238403343057976,0.008238403343057976,
marcel,H,2024,babip,28-30,>400,2,1,-0.04308454037823084,0.04308454037823084,
marcel,H,2024,babip,28-30,>400,3+,47,0.008141530188595765,0.03155353134646829,
marcel,H,2024,babip,31-33,150-400,2,1,-0.006151521544514982,0.006151521544514982,
marcel,H,2024,babip,31-33,150-400,3+,18,0.010318745732218342,0.03541586558634117,
marcel,H,2024,babip,31-33,<150,1,1,-0.03564565500658068,0.03564565500658068,
marcel,H,2024,babip,31-33,<150,2,1,0.03477364170273972,0.03477364170273972,
marcel,H,2024,babip,31-33,>400,2,2,0.021463253179797602,0.029171387701681904,
marcel,H,2024,babip,31-33,>400,3+,40,-0.0010965169239994842,0.03700344685237914,
