role,stage,age,mean,q10,q90
H,hr_pct,26,0.03132166084609643,,
H,hr_pct,27,0.03058047908886466,,
H,hr_pct,28,0.029601508419088807,,
H,hr_pct,29,0.028665573161705104,,
H,hr_pct,30,0.02781899423757352,,
H,hr_pct,31,0.026693290181218098,,
H,hr_pct,32,0.025293305826022277,,
H,hr_pct,33,0.023631787788573076,,
H,hr_pct,34,0.022033928522570738,,
H,hr_pct,35,0.02048139009250558,,
H,hr_pct,36,0.01889199319428231,,
H,hr_pct,37,0.017305120040175516,,
H,hr_pct,38,0.015723826300299622,,
H,hr_pct,39,0.014186827903691985,,
H,hr_pct,40,0.012760255429974991,,
H,babip,20,0.28960086773345745,,
H,babip,21,0.29081083268036373,,
H,babip,22,0.29214742281942613,,
H,babip,23,0.29282877408457153,,
H,babip,24,0.29318213283534605,,
H,babip,25,0.29278374008131874,,
H,babip,26,0.29176617807454397,,
H,babip,27,0.2901688701341639,,
H,babip,28,0.2876721706822406,,
H,babip,29,0.2851088153064673,,
H,babip,30,0.2823829001846556,,
H,babip,31,0.27903792822369994,,
H,babip,32,0.2750607718185378,,
H,babip,33,0.2714138096773479,,
H,babip,34,0.26800189266043123,,
H,babip,35,0.2640923291274032,,
H,babip,36,0.25980278374118815,,
H,babip,37,0.2550794929871835,,
H,babip,38,0.2501618124472338,,
H,babip,39,0.24524834838531612,,
H,babip,40,0.24039380608052915,,
H,woba,20,0.30509872108376196,,
H,woba,21,0.30810234305376594,,
H,woba,22,0.3110270048383803,,
H,woba,23,0.31394594858309305,,
H,woba,24,0.31548526375560204,,
H,woba,25,0.3168669361429715,,
H,woba,26,0.31641492161366946,,
H,woba,27,0.31480318743165736,,
H,woba,28,0.31065548858889325,,
H,woba,29,0.3061015171754058,,
H,woba,30,0.3012494619146756,,
H,woba,31,0.29520777955482586,,
H,woba,32,0.28790418729194633,,
H,woba,33,0.2790964634602581,,
H,woba,34,0.2701630944350063,,
H,woba,35,0.2609873207786964,,
H,woba,36,0.251312534647258,,
H,woba,37,0.2413908369333893,,
H,woba,38,0.23126614081598998,,
H,woba,39,0.2210869261059629,,
H,woba,40,0.21100818497796622,,
P,k,20,0.22791122715364817,,
P,k,21,0.22758083812810959,,
P,k,22,0.22737321163600271,,
P,k,23,0.22753395625750208,,
P,k,24,0.22724273071476572,,
P,k,25,0.2271754085907908,,
P,k,26,0.22650477055492768,,
P,k,27,0.22514285674830795,,
P,k,28,0.222964991558766,,
P,k,29,0.21814859733489367,,
P,k,30,0.21265014271740387,,
P,k,31,0.20643346900490736,,
P,k,32,0.19788736690943318,,
P,k,33,0.18925574925207136,,
P,k,34,0.18056129494538817,,
P,k,35,0.17072354279843108,,
P,k,36,0.15948270261255706,,
P,k,37,0.14774777079132642,,
P,k,38,0.13671221483830295,,
P,k,39,0.1257675125292682,,
P,k,40,0.114748343841099,,
P,bb,20,0.10657243949315512,,
P,bb,21,0.10655381277210905,,
P,bb,22,0.10657507215978167,,
P,bb,23,0.10662081606815194,,
P,bb,24,0.10657119144021708,,
P,bb,25,0.10650290996884448,,
P,bb,26,0.10646492227110127,,
P,bb,27,0.10652042145931519,,
P,bb,28,0.10672750173954676,,
P,bb,29,0.1070535465100161,,
P,bb,30,0.10731989765889778,,
P,bb,31,0.10737071157883232,,
P,bb,32,0.10722358574465762,,
P,bb,33,0.10716297070343873,,
P,bb,34,0.10721680320346494,,
P,bb,35,0.10732664394646317,,
P,bb,36,0.10753661770746287,,
P,bb,37,0.10791565926584999,,
P,bb,38,0.10843332577237656,,
P,bb,39,0.1090604313388312,,
P,bb,40,0.1098509447536148,,
P,hbp,20,0.016887054015894642,,
P,hbp,21,0.016754990861251675,,
P,hbp,22,0.01662511910810838,,
P,hbp,23,0.016509653790625956,,
P,hbp,24,0.01638333939768325,,
P,hbp,25,0.016225624812886384,,
P,hbp,26,0.016103196351142296,,
P,hbp,27,0.015984430442832338,,
P,hbp,28,0.015926758502900273,,
P,hbp,29,0.015891240001445865,,
P,hbp,30,0.01582979763994604,,
P,hbp,31,0.01575236405283799,,
P,hbp,32,0.015600219812152342,,
P,hbp,33,0.015395294168509953,,
P,hbp,34,0.015199877385266337,,
P,hbp,35,0.015025192217250233,,
P,hbp,36,0.014847088026654241,,
P,hbp,37,0.014642752511380839,,
P,hbp,38,0.014423086972282784,,
P,hbp,39,0.014192269636584884,,
P,hbp,40,0.013952368012727128,,
P,hr,20,0.04991975619627549,,
P,hr,21,0.04906161883240823,,
P,hr,22,0.0481813589022111,,
P,hr,23,0.04723212679829485,,
P,hr,24,0.046399342838980284,,
P,hr,25,0.04569584948359447,,
P,hr,26,0.045152289452087685,,
P,hr,27,0.04476648886727464,,
P,hr,28,0.04461968791457861,,
P,hr,29,0.04488698815620352,,
P,hr,30,0.045123932442230945,,
P,hr,31,0.04491332312998694,,
P,hr,32,0.04438798493679483,,
P,hr,33,0.044144335388090886,,
P,hr,34,0.044416071061653906,,
P,hr,35,0.04534495769277029,,
P,hr,36,0.04684541864673816,,
P,hr,37,0.04863109339691774,,
P,hr,38,0.05078622007137201,,
P,hr,39,0.05327859756774315,,
P,hr,40,0.056066596023636034,,
P,hit_bip,20,0.2871942560602986,,
P,hit_bip,21,0.2873789070734944,,
P,hit_bip,22,0.2875691461789062,,
P,hit_bip,23,0.2878806370061875,,
P,hit_bip,24,0.2882800198790243,,
P,hit_bip,25,0.2887957549395969,,
P,hit_bip,26,0.289450482967638,,
P,hit_bip,27,0.2898197411905385,,
P,hit_bip,28,0.2896220612939415,,
P,hit_bip,29,0.2891302722561547,,
P,hit_bip,30,0.28815423411970387,,
P,hit_bip,31,0.2871437482672927,,
P,hit_bip,32,0.2861207438709154,,
P,hit_bip,33,0.2854339860803893,,
P,hit_bip,34,0.28507406751156616,,
P,hit_bip,35,0.2851045672135873,,
P,hit_bip,36,0.2854215380939814,,
P,hit_bip,37,0.2860611720330952,,
P,hit_bip,38,0.287373688222144,,
P,hit_bip,39,0.28921293338287607,,
P,hit_bip,40,0.2915279448022908,,
P,k_pct,20,0.22791122715364817,,
P,k_pct,21,0.22758083812810959,,
P,k_pct,22,0.22737321163600271,,
P,k_pct,23,0.22753395625750208,,
P,k_pct,24,0.22724273071476572,,
P,k_pct,25,0.2271754085907908,,
P,k_pct,26,0.22650477055492768,,
P,k_pct,27,0.22514285674830795,,
P,k_pct,28,0.222964991558766,,
P,k_pct,29,0.21814859733489367,,
P,k_pct,30,0.21265014271740387,,
P,k_pct,31,0.20643346900490736,,
P,k_pct,32,0.19788736690943318,,
P,k_pct,33,0.18925574925207136,,
P,k_pct,34,0.18056129494538817,,
P,k_pct,35,0.17072354279843108,,
P,k_pct,36,0.15948270261255706,,
P,k_pct,37,0.14774777079132642,,
P,k_pct,38,0.13671221483830295,,
P,k_pct,39,0.1257675125292682,,
P,k_pct,40,0.114748343841099,,
P,bb_pct,20,0.08228338402751222,,
P,bb_pct,21,0.08230420675568681,,
P,bb_pct,22,0.08234275572247336,,
P,bb_pct,23,0.08236095996876189,,
P,bb_pct,24,0.08235366288181609,,
P,bb_pct,25,0.08230806788056404,,
P,bb_pct,26,0.08235010947993726,,
P,bb_pct,27,0.0825381094699312,,
P,bb_pct,28,0.08293100521510052,,
P,bb_pct,29,0.08369996549913028,,
P,bb_pct,30,0.08449830610531599,,
P,bb_pct,31,0.08520580311808859,,
P,bb_pct,32,0.08600539269105949,,
P,bb_pct,33,0.08688176239088166,,
P,bb_pct,34,0.08785759837714247,,
P,bb_pct,35,0.0890034590552572,,
P,bb_pct,36,0.09038638728566332,,
P,bb_pct,37,0.09197136117584431,,
P,bb_pct,38,0.09360916564375173,,
P,bb_pct,39,0.09534417217397735,,
P,bb_pct,40,0.09724573077375744,,
P,hr_pct,20,0.03385341253212662,,
P,hr_pct,21,0.03329086376937834,,
P,hr_pct,22,0.032705890832032,,
P,hr_pct,23,0.03205699649583497,,
P,hr_pct,24,0.03150944525352927,,
P,hr_pct,25,0.031041759992612328,,
P,hr_pct,26,0.030704255531610304,,
P,hr_pct,27,0.030497291783794064,,
P,hr_pct,28,0.030477441080869885,,
P,hr_pct,29,0.030839916958266517,,
P,hr_pct,30,0.03121337713798534,,
P,hr_pct,31,0.031313675412129614,,
P,hr_pct,32,0.031290680117471714,,
P,hr_pct,33,0.03146248063474948,,
P,hr_pct,34,0.032000054237780386,,
P,hr_pct,35,0.033063287421838554,,
P,hr_pct,36,0.034618466932517106,,
P,hr_pct,37,0.03643189916763949,,
P,hr_pct,38,0.038525282731171374,,
P,hr_pct,39,0.04090912520129727,,
P,hr_pct,40,0.043564382964215165,,
P,babip,20,0.2871942560602986,,
P,babip,21,0.2873789070734944,,
P,babip,22,0.2875691461789062,,
P,babip,23,0.2878806370061875,,
P,babip,24,0.2882800198790243,,
P,babip,25,0.2887957549395969,,
P,babip,26,0.289450482967638,,
P,babip,27,0.2898197411905385,,
P,babip,28,0.2896220612939415,,
P,babip,29,0.2891302722561547,,
P,babip,30,0.28815423411970387,,
P,babip,31,0.2871437482672927,,
P,babip,32,0.2861207438709154,,
P,babip,33,0.2854339860803893,,
P,babip,34,0.28507406751156616,,
P,babip,35,0.2851045672135873,,
P,babip,36,0.2854215380939814,,
P,babip,37,0.2860611720330952,,
P,babip,38,0.287373688222144,,
P,babip,39,0.28921293338287607,,
P,babip,40,0.2915279448022908,,
P,fip,20,4.2564888207883325,,
P,fip,21,4.227259880768303,,
P,fip,22,4.195947091184814,,
P,fip,23,4.157729503832307,,
P,fip,24,4.128928337465544,,
P,fip,25,4.10185773000982,,
P,fip,26,4.089123764376242,,
P,fip,27,4.091639625784988,,
P,fip,28,4.114808355491533,,
P,fip,29,4.18847303200239,,
P,fip,30,4.269038482546897,,
P,fip,31,4.339741197856977,,
P,fip,32,4.425919898309748,,
P,fip,33,4.525559854720125,,
P,fip,34,4.649601322734082,,
P,fip,35,4.819663599780162,,
P,fip,36,5.0386183824138175,,
P,fip,37,5.285088779853401,,
P,fip,38,5.548509811588385,,
P,fip,39,5.837436620178746,,
P,fip,40,6.155272265083663,,
