target,role,tier,stat,n,rmse,mae,cov50,cov80
2023,P,last,bb_pct,326,0.028098732402030344,0.020819822736239904,,
2024,P,last,bb_pct,318,0.028714852260499853,0.02037532238643875,,
2021,P,last,fip,313,1.6951706573182308,1.2027041166999788,,
2022,P,last,fip,317,1.3296938956490807,0.8900215457005249,,
2023,P,last,fip,326,1.1936335073727584,0.8717016346394713,,
2024,P,last,fip,318,1.03084598755439,0.7732581926201005,,
2021,P,last,hr_pct,313,0.02457601687669667,0.01698775498799583,,
2022,P,last,hr_pct,317,0.019065855451205673,0.012689776724153813,,
2023,P,last,hr_pct,326,0.01793691473631406,0.012854011527270316,,
2024,P,last,hr_pct,318,0.014739559148766092,0.011002635980763793,,
2021,P,last,k_pct,313,0.06207472112987347,0.045927660627511,,
2022,P,last,k_pct,317,0.05338460410351379,0.038157630699587296,,
2023,P,last,k_pct,326,0.04768655057424215,0.03520592131764372,,
2024,P,last,k_pct,318,0.04395254140719075,0.03336602851552279,,
2021,P,league,babip,329,0.03235685183664125,0.02602273298902022,,
2022,P,league,babip,325,0.033678380496381416,0.026345704414449504,,
2023,P,league,babip,334,0.031869153060492136,0.02449976714645664,,
2024,P,league,babip,332,0.03378090491476566,0.02585332560970191,,
2021,P,league,bb_pct,329,0.025466158038330994,0.020629306846299267,,
2022,P,league,bb_pct,325,0.02493576408376172,0.02084188746533154,,
2023,P,league,bb_pct,334,0.025190143447252632,0.01952665515347285,,
2024,P,league,bb_pct,332,0.023142344736289483,0.018820050523645847,,
2021,P,league,fip,329,0.8679521163417298,0.6885808563178423,,
2022,P,league,fip,325,0.9471426081536541,0.759287495068805,,
2023,P,league,fip,334,0.876893935049773,0.6956284618376969,,
2024,P,league,fip,332,0.8008320647924456,0.6321095345065152,,
2021,P,league,hr_pct,329,0.011311023871310614,0.009164047806633272,,
2022,P,league,hr_pct,325,0.012331908152130745,0.009923322975889468,,
2023,P,league,hr_pct,334,0.011377833564015194,0.008966192616672298,,
2024,P,league,hr_pct,332,0.01015065259986254,0.007827320288368876,,
2021,P,league,k_pct,329,0.05597564323964292,0.0435525416263123,,
2022,P,league,k_pct,325,0.05466031519702243,0.04284047343167045,,
2023,P,league,k_pct,334,0.05144584120792776,0.04091473813729859,,
2024,P,league,k_pct,332,0.048151073213812484,0.03763149954336387,,
2021,P,marcel,babip,329,0.03268183498749476,0.02603430639643253,,
2022,P,marcel,babip,325,0.033002025812042826,0.025764656191860084,,
2023,P,marcel,babip,334,0.03396539032768669,0.02641993057806133,,
2024,P,marcel,babip,332,0.034049594712266144,0.026112691105008003,,
2021,P,marcel,bb_pct,329,0.02166634953730121,0.01712001807743791,,
2022,P,marcel,bb_pct,325,0.01971690618164525,0.01594643635588431,,
2023,P,marcel,bb_pct,334,0.021652630436456755,0.016484960462175895,,
2024,P,marcel,bb_pct,332,0.019353855314641528,0.015248648467456022,,
2021,P,marcel,fip,329,0.7830831619246663,0.6160143818458912,,
2022,P,marcel,fip,325,0.8214145978192966,0.6510296842796386,,
2023,P,marcel,fip,334,0.8388588891230699,0.6419747222863403,,
2024,P,marcel,fip,332,0.7356047193071159,0.5581272490053659,,
2021,P,marcel,hr_pct,329,0.010833458962782719,0.00870832676005233,,
2022,P,marcel,hr_pct,325,0.011313961398795386,0.008871231561193496,,
2023,P,marcel,hr_pct,334,0.011580867783133391,0.009027683645807902,,
2024,P,marcel,hr_pct,332,0.009767628959910716,0.007491653804488745,,
2021,P,marcel,k_pct,329,0.042759731987280114,0.033413225716835374,,
2022,P,marcel,k_pct,325,0.042314368132511354,0.03281175018542459,,
2023,P,marcel,k_pct,334,0.03841666715728199,0.030306106727787836,,
2024,P,marcel,k_pct,332,0.036575882760217414,0.027744661391268095,,
2021,P,tier2,babip,329,0.032416823923075516,0.026110872034367884,0.44072948328267475,0.7629179331306991
2022,P,tier2,babip,325,0.0329666376064763,0.02585211823829283,0.4646153846153846,0.7630769230769231
2023,P,tier2,babip,334,0.03178470007948098,0.02427804884059844,0.5179640718562875,0.781437125748503
2024,P,tier2,babip,332,0.033056593721797686,0.025194445965851298,0.47289156626506024,0.7710843373493976
2021,P,tier2,bb_pct,329,0.02331452975550363,0.01772994858471847,0.48936170212765956,0.7598784194528876
2022,P,tier2,bb_pct,325,0.02096325928572062,0.016297009950884407,0.48615384615384616,0.8184615384615385
2023,P,tier2,bb_pct,334,0.023099027236202985,0.017575266265682593,0.4880239520958084,0.7365269461077845
